Season,Player,Profile URL,Position,Current Club,Market Value,Flashscore Link
2018/2019,Abdelmajid Haouachi,https://www.transfermarkt.com/abdelmajid-haouachi/profil/spieler/634700,Left-Back,Without Club,,Unavailable
2021/2022,Abderrazak Ben Ammar,https://www.transfermarkt.com/abderrazak-ben-ammar/profil/spieler/1023355,Abderrazak Ben Ammar,Without Club,,Unavailable
2018/2019,Adam Rejaibi,https://www.transfermarkt.com/adam-rejaibi/profil/spieler/208581,Adam Rejaibi,Without Club,€400k,Unavailable
2013/2014,Ahmed Brahim Naili,https://www.transfermarkt.com/ahmed-brahim-naili/profil/spieler/272665,Left-Back,Without Club,€25k,Unavailable
2023/2024,André Bukia,https://www.transfermarkt.com/andre-bukia/profil/spieler/343289,Right Winger,Without Club,€400k,Unavailable
2022/2023,Anice Ammous,https://www.transfermarkt.com/anice-ammous/profil/spieler/1010651,Anice Ammous,Without Club,,Unavailable
2024/2025,Ayman Ben Mohamed,https://www.transfermarkt.com/ayman-ben-mohamed/profil/spieler/249446,Ayman Ben Mohamed,Without Club,€300k,Unavailable
2023/2024,Bilel Chabbar,https://www.transfermarkt.com/bilel-chabbar/profil/spieler/841507,Centre-Back,Without Club,€125k,Unavailable
2012/2013,Emeka Emerun,https://www.transfermarkt.com/emeka-emerun/profil/spieler/215519,Left Winger,Without Club,€75k,Unavailable
2017/2018,Fakhreddine Ben Youssef,https://www.transfermarkt.com/fakhreddine-ben-youssef/profil/spieler/218058,Centre-Forward,Without Club,€1.00m,Unavailable
2017/2018,Ferid Matri,https://www.transfermarkt.com/ferid-matri/profil/spieler/147022,Centre-Back,Without Club,€75k,Unavailable
2023/2024,Hani Amamou,https://www.transfermarkt.com/hani-amamou/profil/spieler/468681,Hani Amamou,Without Club,€200k,Unavailable
2019/2020,Junior Lokosa,https://www.transfermarkt.com/junior-lokosa/profil/spieler/584674,Centre-Forward,Without Club,€325k,Unavailable
2016/2017,Khaled Gharsallaoui,https://www.transfermarkt.com/khaled-gharsallaoui/profil/spieler/214957,Right Winger,Without Club,€275k,Unavailable
2020/2021,Khalid Basit,https://www.transfermarkt.com/khalid-basit/profil/spieler/458371,Centre-Forward,Without Club,€700k,Unavailable
2021/2022,Kingsley Eduwo,https://www.transfermarkt.com/kingsley-eduwo/profil/spieler/532477,Centre-Forward,Without Club,€650k,Unavailable
2022/2023,Malek Mehri,https://www.transfermarkt.com/malek-mehri/profil/spieler/1003198,Central Midfield,Without Club,€200k,Unavailable
2016/2017,Mohamed Amine Nefzi,https://www.transfermarkt.com/mohamed-amine-nefzi/profil/spieler/217597,Mohamed Amine Nefzi,Without Club,€225k,Unavailable
2023/2024,Montassar Triki,https://www.transfermarkt.com/montassar-triki/profil/spieler/841500,Central Midfield,Without Club,€175k,Unavailable
2015/2016,Mouez Aboud,https://www.transfermarkt.com/mouez-aboud/profil/spieler/274971,Defensive Midfield,Without Club,€175k,Unavailable
2021/2022,Percious Boah,https://www.transfermarkt.com/percious-boah/profil/spieler/843699,Centre-Forward,Without Club,€50k,Unavailable
2024/2025,Raed Fadaa,https://www.transfermarkt.com/raed-fadaa/profil/spieler/537392,Right-Back,Without Club,,Unavailable
2018/2019,Saad Bguir,https://www.transfermarkt.com/saad-bguir/profil/spieler/253752,Attacking Midfield,Without Club,€1.00m,Unavailable
2012/2013,Safouane Ben Salem,https://www.transfermarkt.com/safouane-ben-salem/profil/spieler/172959,Central Midfield,Without Club,€100k,Unavailable
2016/2017,Samuel Eduok,https://www.transfermarkt.com/samuel-eduok/profil/spieler/274802,Samuel Eduok,Without Club,€1.25m,Unavailable
2024/2025,Wassim Karoui,https://www.transfermarkt.com/wassim-karoui/profil/spieler/402696,Goalkeeper,Without Club,,Unavailable
2014/2015,Yannick N'Djeng,https://www.transfermarkt.com/yannick-ndjeng/profil/spieler/174946,Centre-Forward,Without Club,€850k,Unavailable
2018/2019,Yassine Hamdi,https://www.transfermarkt.com/yassine-hamdi/profil/spieler/665858,Yassine Hamdi,Without Club,,Unavailable
2018/2019,Youssef Khemiri,https://www.transfermarkt.com/youssef-khemiri/profil/spieler/376087,Left Winger,Without Club,€150k,Unavailable
2012/2013,Youssef Msakni,https://www.transfermarkt.com/youssef-msakni/profil/spieler/69110,Left Winger,Without Club,€2.50m,Unavailable
2023/2024,Zied Machmoum,https://www.transfermarkt.com/zied-machmoum/profil/spieler/215637,Right-Back,Without Club,€150k,Unavailable
